Chain Number,Word 1,Word 2,Word 3,Word 4,Word 5
740,idiot,slimy,swaps,abbot,human
741,nudge,hicks,rivet,alkyl,amber
742,quilt,aroma,pikes,skins,melds
743,privy,axiom,vesta,cadre,abbas
744,arses,rishi,dukes,kyrie,fanon
745,skier,visas,voila,stung,botch
746,would,sangh,metis,lured,tweed
747,hokey,tonic,bulky,raged,kiddy
748,grand,rowan,files,tutor,chats
749,foggy,waned,arise,logan,gassy
750,coupe,spoil,spine,bliss,croup
751,spite,laura,slags,cards,meant
752,voted,price,ropes,burly,hanks
753,delay,forum,spade,beard,burgh
754,seals,gents,barbs,roles,gives
755,delta,miner,lilac,hoyle,facet
756,meets,tilak,pared,ratty,loses
757,sneer,plane,kills,rhyme,sniff
758,shard,silks,infer,timid,hissy
759,clown,helms,mammy,piped,flame
760,burst,shall,essay,brits,viola
761,mused,tanka,flume,rains,waive
762,stoop,vigor,divvy,scuff,potty
763,sighs,endow,sugar,gulls,model
764,spots,gemma,lorry,holes,crest
765,flown,roper,vanes,tonga,bazar
766,crore,pawns,empty,which,marks
767,snort,emmet,credo,brews,cholo
768,plain,mates,atria,snout,skunk
769,bolts,grace,lyric,tacit,sworn
770,about,hinds,biker,flies,taken
771,panto,tombs,gazes,kooky,undid
772,spins,large,fifty,opals,hants
773,comte,reeds,colin,blaze,seely
774,moody,murry,major,mango,dales
775,foils,afoul,tease,dived,craps
776,gutsy,boots,booth,wiles,bezel
777,layed,chose,sever,owned,voice
778,wrath,crown,pimps,stout,auger
779,dykes,pairs,enemy,sixty,greys
780,birds,witty,gecko,macaw,cased
781,tanks,award,porky,sicko,chine
782,drier,since,stall,toads,ricin
783,logos,bathe,sects,tests,light
784,jacky,kendo,maths,mains,radio
785,pally,unify,plate,atone,wines
786,barre,trite,dealt,apple,zebra
787,hours,bales,noble,forty,flaws
788,shute,wards,blank,towie,skips
789,semis,detox,twain,whole,palms
790,poles,apron,vichy,droll,memos
791,cates,madam,hurts,route,trawl
792,casts,acted,aloud,creme,fixer
793,dumas,toner,musty,patio,pored
794,bucks,trunk,twist,peace,cuppa
795,mural,milos,packs,cafes,pubis
796,baits,reuse,stale,mages,music
797,vapid,piggy,exile,jokey,fires
798,meals,shins,bless,frown,cubed
799,execs,motel,dirty,motto,avoid
800,lotto,apply,hiker,slays,corns
801,aloha,limit,hairy,yucky,marsh
802,spurt,spunk,tommy,grass,surfs
803,exude,rinds,avian,dinky,salon
804,three,snows,durst,psych,toney
805,atoms,chunk,solid,lasts,taxis
806,jawed,works,swish,serif,ender
807,fleet,chard,grime,torts,quark
808,tying,panel,stour,nails,limes
809,first,benny,mufti,leafs,fitch
810,cages,wired,spice,repro,sewer
811,sight,xenon,bikes,lobes,rouse
812,avert,riffs,usurp,barge,taffy
813,canto,vowed,gusts,wield,sails
814,meany,guava,dryer,share,croak
815,moult,slows,flats,venom,buggy
816,trees,mulch,strop,water,prose
817,tubal,washy,pleas,rages,fined
818,wispy,rails,fills,stems,froth
819,glitz,ruler,cycle,smoke,spits
820,sheet,times,sires,erica,aeons
821,twats,thorp,slurp,seder,drawl
822,shush,begun,scabs,blurt,brill
823,cooch,terry,tamer,globe,deems
824,ruble,shock,elite,kitty,grabs
825,quart,scree,antis,mince,frosh
826,leery,valor,smell,welds,altho
827,ramps,stick,bland,tomes,pulis
828,medal,blown,pulpy,yodel,ticks
829,retry,fancy,kilos,farce,vying
830,bunny,nifty,lifer,alums,alibi
831,laker,scary,crass,lefts,troll
832,keeps,brave,servo,dikes,fossa
833,cacao,bonny,panty,bleep,stuff
834,murky,samba,pinky,prior,cynic
835,amine,tiled,hunts,crave,begin
836,basis,hilly,saver,trill,mirth
837,nymph,mimic,clams,dying,knoll
838,xylem,butyl,doggy,round,putts
839,acids,logic,these,sharp,basin
840,gloss,flank,epoch,pique,touch
841,soils,mossy,arras,fewer,sheer
842,royal,ideas,affix,oiled,cobbs
843,woody,stray,areas,rungs,yummy
844,bytes,bombs,fudge,gusto,breed
845,guess,clash,visor,fermi,ovens
846,feast,claro,elude,stews,piled
847,outed,jolts,abuts,cabal,ethyl
848,leben,gases,tawny,mezzo,genet
849,scoff,lobed,posit,preys,rugby
850,frond,today,annul,pulse,chaff
851,rider,raise,messy,nosed,jacks
852,swear,lefty,warms,groom,poppa
853,allay,bulla,larch,campo,domed
854,fresh,laser,phono,agile,buses
855,tufts,sired,argon,cares,tales
856,wrong,mange,fleck,alway,sturt
857,welsh,party,lucky,syrup,cigar
858,kalam,grown,hanky,claim,twits
859,links,shady,dotty,bears,casks
860,blitz,slums,gabby,fruit,gnats
861,wages,loans,recap,manus,yours
862,crude,purer,afoot,quasi,grain
863,glare,great,flier,chert,waits
864,raspy,birch,blurs,hyoid,fails
865,gayer,ralph,alien,wrung,musky
866,senor,ports,mommy,gypsy,sings
867,poops,brand,nasty,polar,think
868,speak,annex,busty,clift,taped
869,bangs,glint,jebel,perry,combo
870,mites,brain,chefs,aggie,wests
871,hyped,omens,charm,creak,bloke
872,blare,exons,ninja,peeks,built
873,rally,graze,pound,cello,fiery
874,abyss,paths,dusts,fever,libra
875,humps,betas,llama,nicks,parse
876,rodeo,ricks,renew,tango,bushy
877,pixie,altar,narco,eagle,profs
878,socks,chord,windy,stein,block
879,greed,hound,agora,bound,comfy
880,visit,porch,olden,stump,hammy
881,deism,paled,sound,cheap,coots
882,genus,outer,naira,shack,songs
883,spans,tippy,latch,goofy,suite
884,pence,guilt,valid,prism,paddy
885,amici,tripe,dally,devel,rerun
886,orang,comet,gusty,ratio,order
887,width,dunks,maybe,snipe,flung
888,peony,dated,saved,virus,sting
889,aphid,ingle,bayou,rebar,ferry
890,ships,whips,banco,ponce,tears
891,leary,label,capon,knock,scrub
892,youse,crawl,teach,child,pansy
893,calms,liver,marge,grail,bison
894,rater,awake,maize,cruel,pumps
895,amiss,glade,beret,sikes,scape
896,greet,bowel,trial,faked,appel
897,young,duals,frith,mucky,pesto
898,lumps,wares,yolks,scour,stoke
899,alert,youth,rifle,ambit,mogul
900,turns,brags,drown,doozy,mined
901,pudgy,silly,bogle,naive,noise
902,chaps,unzip,vocal,canon,brisk
903,spore,ocean,slate,stamp,wooly
904,aught,fairy,rebel,gourd,bebop
905,sands,lavas,quite,boson,treks
